11,7,Alphabet Inc (GOOG)
12,12,Tesla Motors Inc (TSLA)
13,14,Texas Instruments (TXN)
14,16,Unilever plc (ULVR)
15,18,Thomas Cook (TCG)
16,23,Invesco Perpetual High Income Class Y - Accumulation
17,28,Amazon.com Inc (AMZN)
18,30,First State Global Listed Infrastructure- Inclusive - Class A - Accumulation (GBP)
19,32,Liontrust Special Situations Inclusive - Class R - Income (GBP)
20,34,Henderson UK Smaller Companies Class I - Accumulation (GBP)
21,43,Threadneedle European Select Class Z - Accumulation (GBP)
22,45,Newton Global Income Class W - Accumulation (GBP)
23,47,AXA Framlington Biotech Class Z - Accumulation (GBP)
24,49,Fundsmith Equity Class I - Accumulation (GBP)
25,51,First State Global Listed Infrastructure Class B - Accumulation (GBP)
26,53,HL Multi-Manager Income &amp;amp; Growth Trust Class A - Income (GBP)
27,55,Jupiter India Class I - Accumulation (GBP)
28,57,TM Sanditon European Class F - Accumulation (GBP)
29,59,CF Odey Opus Class I - Accumulation (GBP)
30,61,Morgan Stanley Sterling Corporate Bond Class F - Accumulation (GBP)
31,65,CF Woodford Equity Income Class Z - Accumulation (GBP)
32,67,Threadneedle UK Equity Income Class Z - Accumulation (GBP)
33,69,Stewart Investors Asia Pacific Leaders Class B - Accumulation (GBP)
34,71,Marlborough UK Micro Cap Growth Class P - Accumulation (GBP)
35,73,Newton Emerging Income Class W - Accumulation (GBP)
36,76,Schroder Tokyo Class H - Accumulation (GBP)
37,80,iShares Physical Metals plc Physical Gold ETC
38,82,GO UCITS ETF Solutions plc ROBO Global Robotics &amp;amp; Automation
39,84,ITV plc Ordinary 10p
40,89,FP CRUX European Special Situations Class A - Accumulation (GBP)
45,36,Old Mutual UK Alpha Class U1 - Accumulation (GBP)
46,38,Standard Life UK Equity Unconstrained Institutional Class - Accumulation (GBP)
47,41,Lindsell Train Global Equity Class D - Income (GBP)
48,63,Legg Mason IF Royce US Smaller Companies Class X - Accumulation (GBP)